OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
1027569,1157201,TFS_NC_206202,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,RIBICON RD. FIRE,,,,,,1998,2451030.5,217,,5,Debris Burning,,,,1,B,35.245,-79.4917,14,MISSING/NOT SPECIFIED,NC,,,,
1027570,1157202,TFS_NC_206203,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,HEDGE LAWN WAY,,,,,,1998,2451031.5,218,,9,Miscellaneous,,,,1,B,35.1383,-79.3883,14,MISSING/NOT SPECIFIED,NC,,,,
1027571,1157203,TFS_NC_206204,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,LAKE VIEW FIRE,,,,,,1998,2451033.5,220,,5,Debris Burning,,,,1,B,35.235,-79.3083,14,MISSING/NOT SPECIFIED,NC,,,,
1027572,1157204,TFS_NC_206205,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,FOREST ROAD FIRE,,,,,,1998,2451050.5,237,,5,Debris Burning,,,,0.5,B,35.455,-79.4517,14,MISSING/NOT SPECIFIED,NC,,,,
1027573,1157205,TFS_NC_206206,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,LIDEN RD. FIRE,,,,,,1998,2451051.5,238,,5,Debris Burning,,,,4,B,35.1683,-79.5083,14,MISSING/NOT SPECIFIED,NC,,,,
1027574,1157206,TFS_NC_206207,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,MARTIN RD. FIRE,,,,,,1998,2451057.5,244,,1,Lightning,,,,2,B,35.2717,-79.6683,14,MISSING/NOT SPECIFIED,NC,,,,
1027575,1157207,TFS_NC_206208,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,BLUE FARM FIRE,,,,,,1998,2451058.5,245,,3,Smoking,,,,3,B,35.245,-79.3983,14,MISSING/NOT SPECIFIED,NC,,,,
1027576,1157208,TFS_NC_206209,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,VILLAGE MARKET FIRE,,,,,,1998,2451081.5,268,,5,Debris Burning,,,,1,B,35.425,-79.6417,14,MISSING/NOT SPECIFIED,NC,,,,
1027577,1157209,TFS_NC_206210,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,EARLY MORNING FIRE,,,,,,1998,2451082.5,269,,3,Smoking,,,,2,B,35.2617,-79.2783,14,MISSING/NOT SPECIFIED,NC,,,,
1027578,1157210,TFS_NC_206211,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,SHAW ROAD FIRE,,,,,,1998,2451083.5,270,,3,Smoking,,,,5,B,35.305,-79.3217,14,MISSING/NOT SPECIFIED,NC,,,,
1027579,1157211,TFS_NC_206212,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,LINDALE FIRE,,,,,,1998,2451083.5,270,,8,Children,,,,0.1,A,35.425,-79.5817,14,MISSING/NOT SPECIFIED,NC,,,,
1027580,1157212,TFS_NC_206213,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,KNAT FIRE,,,,,,1998,2451083.5,270,,3,Smoking,,,,3,B,35.3083,-79.7083,14,MISSING/NOT SPECIFIED,NC,,,,
1027581,1157213,TFS_NC_206214,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,NEEDHAM GROVE FIRE,,,,,,1998,2451083.5,270,,9,Miscellaneous,,,,3,B,35.4983,-79.625,14,MISSING/NOT SPECIFIED,NC,,,,
1027582,1157214,TFS_NC_206215,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,SKILL ROAD FIRE,,,,,,1998,2451108.5,295,,5,Debris Burning,,,,0.1,A,35.3183,-79.6583,14,MISSING/NOT SPECIFIED,NC,,,,
1027583,1157215,TFS_NC_206216,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,PINEHURST FIRE,,,,,,1998,2451114.5,301,,3,Smoking,,,,0.1,A,35.2083,-79.495,14,MISSING/NOT SPECIFIED,NC,,,,
1027584,1157216,TFS_NC_206217,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,SANDHILLS FIRE,,,,,,1998,2451117.5,304,,3,Smoking,,,,0.1,A,35.2183,-79.4083,14,MISSING/NOT SPECIFIED,NC,,,,
1027585,1157217,TFS_NC_206218,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,PINE VALLEY FIRE,,,,,,1998,2451117.5,304,,2,Equipment Use,,,,0.1,A,35.2017,-79.5617,14,MISSING/NOT SPECIFIED,NC,,,,
1027586,1157218,TFS_NC_206219,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,CHALMERS ROAD FIRE,,,,,,1998,2451118.5,305,,5,Debris Burning,,,,1,B,35.505,-79.3883,14,MISSING/NOT SPECIFIED,NC,,,,
